node
K. V. Anand
Film News Anandan
Annapurna Dutta
Hari Anumolu
Aditya Arya
Ishan Arya
Abul Kalam Azad (photographer)
Dinesh Baboo
Bandi Rajan Babu
Ramachandra Babu
N. L. Balakrishnan
Subhankar Banerjee (photographer)
Pablo Bartholomew
Marcus Bartley
Mitter Bedi
Naresh Bedi
Benoy K. Behl
Ankur Betageri
Supratim Bhol
Kamal Bose
Frederick Walter Champion
Ravi K. Chandran
Sudeep Chatterjee
Shridhar Chillal
Cop Shiva
Prabuddha Dasgupta
Arko Datta
Rajan Devadas
Dhaval Dhairyawan
Raol Shree Dharmakumarsinhji
Sunil K. Dutt
Rasool Ellore
Kanu Gandhi
Ashvin Gatha
Saloo George
Victor George
Kamal Ghosh
Nemai Ghosh (photographer)
Gauri Gill
Adoor Gopalakrishnan
Boman Irani
Sunil Janah
Jeeva (director)
Vithalbhai Jhaveri
Sunny Joseph
K. Ramnoth
Puttanna Kanagal
B. Kannan
Radhu Karmakar
M. Karnan
Shaji N. Karun
R. N. K. Prasad
V. Gopi Krishna
Madhaviah Krishnan
Ashok Kumar (cinematographer)
S. Kumar
B. S. Lokanath
Venugopal Madathil
Balan Madhavan
K. K. Mahajan
Madan Mahatta
Balu Mahendra
Jagdish Mali
Crossbelt Mani
Diwan Manna
Ramnath Mauzo
Ashok Mehta
Rajiv Menon
Fali Mistry
Jal Mistry
Subrata Mitra
David Mordecai
C. K. Muraleedharan
V. K. Murthy
Ravikant Nagaich
Hari Nair
Nandamuri Mohana Krishna
Anupam Nath
N. A. Naseer
P. S. Nivas
Sudharak Olwe
Kishor Parekh
Ambalal Jhaverbhai Patel
T.N.A. Perumal
Virendra Prabhakar
K. S. Prasad
Ram Prasad (cinematographer)
Altaf Qadri
M. V. Raghu
Raghu Rai
Gautam Rajadhyaksha
S. Ramachandra
Ramji (cinematographer)
K. S. Prakash Rao
S. Gopal Reddy
V. N. Reddy
Kulwant Roy
Soumendu Roy
Anna Salunke
T. S. Satyan
Benu Sen
Ramananda Sengupta
U. K. Senthil Kumar
Santosh Sivan
P. C. Sreeram
P. N. Sundaram
Swami Sundaranand
Teja (director)
Poornachandra Tejaswi
Waman Thakre
Santosh Thundiyil
Tirru
Mankada Ravi Varma
Uthradom Thirunal Marthanda Varma
Venu (cinematographer)
A. Vincent
Jayanan Vincent
Vipindas
N. K. Viswanathan
J. Williams (cinematographer)
Ramkinkar Baij
Fanindra Bose
Sankho Chaudhuri
Anish Kapoor
C. Sivaramamurti
Rameshwar Broota
Jayashree Chakravarty
Ganesh Haloi
Sravanthi Juluri
Harshvardhan Kadam
A. J. S. Lakshmi Shree
Raghav Raj Bhatt
Malik Sajad
Samdur Sarang
K.R.Sunil
Anurag Anand
Anudeep Dev
Arivu
Bhuvan Bam
CarryMinati
Dalavai Chalapathi Rao
Vimal Chandran
Benjamin Daimary
Daku (artist)
Shashikant Dhotre
Niraj Gera
Ashraf Ghori
Fayaz Ahmad Jan
Janarthanan Kesavan
Riyas Komu
Manjul
V. K. Munusamy
Apoorv Om
Gaman Palem
Rajasekharan Parameswaran
Sudarsan Pattnaik
Mir Suhail Qadri
A. K. Raina
Hemant Rao
Suresh Ravi
Devajyoti Ray
KC Sivasankaran
Kapil Sharma
Mustajab Shelle
N. Srinivasan (artist)
Ashok Sukumaran
Avinash Veeraraghavan
Lokesh Verma
Sushmita Banerjee (dancer)
Bhanumati Rao
Baba Bhaskar
Devoleena Bhattacharjee
Bosco–Caesar
Bhoomika Dash
Vijay Ganguly
Gayathri Govind
Queen Harish
Eshan Hilal
Aditi Rao Hydari
Vartika Jha
Raghav Juyal
Shamna Kasim
Ahmed Khan (choreographer)
Dinesh Kumar (choreographer)
Mansiya V. P.
Mukti Mohan
Aparna Nagesh
Sreejaya Nair
Shobi (choreographer)
Prem Rakshith
Bhavana Rao
Bir Radha Sherpa
Alisha Singh
Manish Arora
Varija Bajaj
Arjun Bhasin
Subarna Ray Chaudhuri
Renu Desai
Prasantt Ghosh
Mashar Hamsa
Poornima Indrajith
Indrans Jayan
Karan Johar
Sussanne Khan
Twinkle Khanna
Ritu Kumar
Eka Lakhani
Uthara Menon
Sabyasachi Mukherjee
Robert Naorem
Aki Narula
Shaina NC
Anu Parthasarathy
Suhani Pittie
Amritha Ram
Poornima Ramaswamy
Remiyan
Rosemary Lillu
Sangeeta Boochra
T. Santhanam
Suresh Selvarajan
Komal Shahani
Jishad Shamsudeen
Mani Shankar
Shamita Shetty
Sonakshi Sinha
V. Srinivas Mohan
Tanieya Khanuja
Iti Tyagi
Anu Vardhan
Veerasamar
Vikram Lall
Abha Narain Lambah
Canna Patel
Anu Sabhlok
S. Sashikanth
Ashiesh Shah
Divya Thakur
Aishwarya Tipnis
Aman Singh Gulati
Bose Krishnamachari
Sandeep Mukherjee
Harun Robert
Varun Aditya
Poulomi Basu
A. Vinod Bharathi
Niketh Bommireddy
Soumya Sankar Bose
Chezhiyan
Souvid Datta
G. S. Bhaskar
Akhil George
Serin George
Jaya Krishna Gummadi
Jibu Jacob
Shehnad Jalal
Arjun Jena
Himanshu Khagta
Saadiya Kochar
Arati Kumar-Rao
Shaji Kumar
Satheesh Kurup
Ashagi Lamiya
Richa Maheshwari
M. Manikandan
V. Manikandan
K. U. Mohanan
Prayag Mukundan
Prasad Murella
P. G. Muthiah
Chota K. Naidu
Jayesh Nair
Latika Nath
Madhu Neelakandan
Amal Neerad
Karthik Palani
Siddharth Pandey
Manoj Paramahamsa
Ssumier Pasricha
Keshav Prakash
Pratap P. Nair
M. J. Radhakrishnan
